city,zip
"Velika Nedelja, SI","2274, SI"
"Miklavž pri Ormožu, SI","2275, SI"
"Kog, SI","2276, SI"
"Središče ob Dravi, SI","2277, SI"
"Markovci, SI","2281, SI"
"Cirkulane, SI","2282, SI"
"Zavrč, SI","2283, SI"
"Videm pri Ptuju, SI","2284, SI"
"Zgornji Leskovec, SI","2285, SI"
"Podlehnik, SI","2286, SI"
"Žetale, SI","2287, SI"
"Hajdina, SI","2288, SI"
"Stoperce, SI","2289, SI"
"Slovenska Bistrica, SI","2310, SI"
"Hoče, SI","2311, SI"
"Orehova vas, SI","2312, SI"
"Fram, SI","2313, SI"
"Zgornja Polskava, SI","2314, SI"
"Šmartno na Pohorju, SI","2315, SI"
"Zgornja Ložnica, SI","2316, SI"
"Oplotnica, SI","2317, SI"
"Laporje, SI","2318, SI"
"Poljčane, SI","2319, SI"
"Makole, SI","2321, SI"
"Majšperk, SI","2322, SI"
"Ptujska Gora, SI","2323, SI"
"Lovrenc na Dravskem polju, SI","2324, SI"
"Kidričevo, SI","2325, SI"
"Cirkovce, SI","2326, SI"
"Rače, SI","2327, SI"
"Pragersko, SI","2331, SI"
"Limbuš, SI","2341, SI"
"Ruše, SI","2342, SI"
"Fala, SI","2343, SI"
"Lovrenc na Pohorju, SI","2344, SI"
"Bistrica ob Dravi, SI","2345, SI"
"Kamnica, SI","2351, SI"
"Selnica ob Dravi, SI","2352, SI"
"Sv. Duh na Ostrem Vrhu, SI","2353, SI"
"Bresternica, SI","2354, SI"
"Radlje ob Dravi, SI","2360, SI"
"Ožbalt, SI","2361, SI"
"Kapla, SI","2362, SI"
"Podvelka, SI","2363, SI"
"Ribnica na Pohorju, SI","2364, SI"
"Vuhred, SI","2365, SI"
"Muta, SI","2366, SI"
"Vuzenica, SI","2367, SI"
"Dravograd, SI","2370, SI"
"Trbonje, SI","2371, SI"
"Libeliče, SI","2372, SI"
"Šentjanž pri Dravogradu, SI","2373, SI"
"Slovenj Gradec, SI","2380, SI"
"Podgorje pri Slovenj Gradcu, SI","2381, SI"
"Mislinja, SI","2382, SI"
"Šmartno pri Slovenj Gradcu, SI","2383, SI"
"Ravne na Koroškem, SI","2390, SI"
"Prevalje, SI","2391, SI"
"Mežica, SI","2392, SI"
"Črna na Koroškem, SI","2393, SI"
"Kotlje, SI","2394, SI"
"Maribor, SI","2500, SI"
"Maribor, SI","2501, SI"
"Maribor, SI","2502, SI"
"Maribor, SI","2503, SI"
"Maribor, SI","2504, SI"
"Maribor, SI","2505, SI"
"Maribor, SI","2506, SI"
"Maribor, SI","2507, SI"
