city,zip
"Varna, RS","15232, RS"
"Metlić, RS","15233, RS"
"Tekeriš, RS","15234, RS"
"Dobrić, RS","15235, RS"
"Loznica, RS","15300, RS"
"Korenita, RS","15302, RS"
"Tršić, RS","15303, RS"
"Petlovača, RS","15304, RS"
"Lipolist, RS","15305, RS"
"Prnjavor, RS","15306, RS"
"Lešnica, RS","15307, RS"
"Jadranska Lešnica, RS","15308, RS"
"Brezjak, RS","15309, RS"
"Ribari, RS","15310, RS"
"Draginac, RS","15311, RS"
"Zavlaka, RS","15312, RS"
"Bela Crkva, RS","15313, RS"
"Krupanj, RS","15314, RS"
"Zajača, RS","15315, RS"
"Banja Koviljača, RS","15316, RS"
"Donja Borina, RS","15317, RS"
"Mali Zvornik, RS","15318, RS"
"Uzovnica, RS","15319, RS"
"Ljubovija, RS","15320, RS"
"Radalj, RS","15321, RS"
"Velika Reka, RS","15322, RS"
"Donja Orovica, RS","15323, RS"
"Drlače, RS","15324, RS"
"Lipnički Šor, RS","15341, RS"
"Rainovača, RS","15342, RS"
"Bogatić, RS","15350, RS"
"Zminjak, RS","15352, RS"
"Majur, RS","15353, RS"
"Štitar, RS","15354, RS"
"Crna Bara, RS","15355, RS"
"Glušci, RS","15356, RS"
"Klenje, RS","15357, RS"
"Badovinci, RS","15358, RS"
"Dublje, RS","15359, RS"
"Banovo Polje, RS","15362, RS"
"Leskovac, RS","16000, RS"
"Manojlovce, RS","16201, RS"
"Vučje, RS","16203, RS"
"Miroševce, RS","16204, RS"
"Bojnik, RS","16205, RS"
"Kosančić, RS","16206, RS"
"Vlasotince, RS","16210, RS"
"Guberevac (Leskovac), RS","16211, RS"
"Svođe, RS","16212, RS"
"Sastav Reka, RS","16213, RS"
"Crna Trava, RS","16215, RS"
"Grdelica, RS","16220, RS"
"Velika Grabovnica, RS","16221, RS"
"Predejane, RS","16222, RS"
"Ruplje, RS","16223, RS"
"Lebane, RS","16230, RS"
"Turekovac, RS","16231, RS"
"Bošnjace, RS","16232, RS"
"Orane, RS","16233, RS"
"Klajić, RS","16236, RS"
"Medveđa, RS","16240, RS"
"Gornji Brestovac, RS","16244, RS"
"Sijarinska Banja, RS","16246, RS"
"Tulare, RS","16247, RS"
"Lece, RS","16248, RS"
"Pečanjevce, RS","16251, RS"
"Razgojna, RS","16252, RS"
"Brestovac, RS","16253, RS"
"Vranje, RS","17501, RS"
"Vlase, RS","17507, RS"
"Sveti Ilija, RS","17508, RS"
"Vladičin Han, RS","17510, RS"
"Priboj Vranjski, RS","17511, RS"
"Stubal, RS","17512, RS"
"Lepenica, RS","17513, RS"
"Džep, RS","17514, RS"
"Bujanovac, RS","17520, RS"
"Ristovac, RS","17521, RS"
"Biljača, RS","17522, RS"
"Preševo, RS","17523, RS"
"Klenike, RS","17524, RS"
"Trgovište, RS","17525, RS"
"Donji Stajevac, RS","17526, RS"
"Veliki Trnovac, RS","17528, RS"
"Muhovac, RS","17529, RS"
"Surdulica, RS","17530, RS"
"Suvojnica, RS","17530, RS"
"Jelašnica, RS","17531, RS"
"Vlasina Okruglica, RS","17532, RS"
"Vlasina Rid, RS","17533, RS"
"Vlasina Stojkovićevo, RS","17534, RS"
"Klisura, RS","17535, RS"
"Božica, RS","17537, RS"
"Gornja Lisina, RS","17538, RS"
"Bosilegrad, RS","17540, RS"
"Vranjska Banja, RS","17541, RS"
"Kriva Feja, RS","17543, RS"
"Donja Ljubata, RS","17544, RS"
"Korbevac, RS","17545, RS"
"Bistar, RS","17546, RS"
"Donje Tlamino, RS","17547, RS"
"Radovnica, RS","17561, RS"
"Niš, RS","18000, RS"
"Lalinac, RS","18201, RS"
"Gornja Toponica, RS","18202, RS"
