state,city,zip
"Balochistan, PK","Kuzdar Bazar, PK","89160, PK"
"Balochistan, PK","Khattan, PK","89170, PK"
"Balochistan, PK","Mashkey, PK","89200, PK"
"Balochistan, PK","Zeedi, PK","89230, PK"
"Balochistan, PK","Jinnah Camp, PK","89240, PK"
"Balochistan, PK","Wadh, PK","89250, PK"
"Balochistan, PK","Jibri, PK","89260, PK"
"Balochistan, PK","Ornach, PK","89270, PK"
"Balochistan, PK","Kalwan, PK","89300, PK"
"Balochistan, PK","Karakh, PK","89350, PK"
"Balochistan, PK","Bela, PK","90050, PK"
"Balochistan, PK","Uthal, PK","90150, PK"
"Balochistan, PK","Lakhra, PK","90160, PK"
"Balochistan, PK","Miani Beach, PK","90200, PK"
"Balochistan, PK","Sommiani (Winder), PK","90210, PK"
"Balochistan, PK","Hub Chowki, PK","90250, PK"
"Balochistan, PK","Civic Centre Hub, PK","90260, PK"
"Balochistan, PK","Gadani, PK","90300, PK"
"Balochistan, PK","Balicha, PK","90350, PK"
"Balochistan, PK","Jiwani, PK","91100, PK"
"Balochistan, PK","Gawadar, PK","91200, PK"
"Balochistan, PK","Surbandar, PK","91210, PK"
"Balochistan, PK","Peshkan, PK","91220, PK"
"Balochistan, PK","Pasni, PK","91300, PK"
"Balochistan, PK","Ormara, PK","91400, PK"
"Balochistan, PK","Mand, PK","92100, PK"
"Balochistan, PK","Tump, PK","92300, PK"
"Balochistan, PK","Kalatuk, PK","92400, PK"
"Balochistan, PK","Shahi Tump, PK","92500, PK"
"Balochistan, PK","Turbat Gpo, PK","92600, PK"
"Balochistan, PK","Asiabad, PK","92610, PK"
"Balochistan, PK","Kuddan, PK","92650, PK"
"Balochistan, PK","Buleda, PK","92800, PK"
"Balochistan, PK","Solo Buleda, PK","92810, PK"
"Balochistan, PK","Nasirabad, PK","92900, PK"
"Balochistan, PK","Hoshab, PK","92910, PK"
"Balochistan, PK","Panjgur, PK","93000, PK"
"Balochistan, PK","Patak, PK","93100, PK"
"Balochistan, PK","Katagari, PK","93200, PK"
"Balochistan, PK","Washbood, PK","93210, PK"
"Balochistan, PK","Khudabandan, PK","93220, PK"
"Balochistan, PK","Tasap, PK","93230, PK"
"Balochistan, PK","Basima, PK","94050, PK"
