state,city,zip
"San Juan, PR","San Juan, PR","925, PR"
"San Juan, PR","San Juan, PR","926, PR"
"San Juan, PR","San Juan, PR","927, PR"
"San Juan, PR","San Juan, PR","928, PR"
"San Juan, PR","San Juan, PR","929, PR"
"San Juan, PR","San Juan, PR","930, PR"
"San Juan, PR","San Juan, PR","931, PR"
"San Juan, PR","San Juan, PR","933, PR"
"San Juan, PR","San Juan, PR","935, PR"
"San Juan, PR","San Juan, PR","936, PR"
"San Juan, PR","San Juan, PR","937, PR"
"San Juan, PR","San Juan, PR","938, PR"
"San Juan, PR","San Juan, PR","939, PR"
"San Juan, PR","San Juan, PR","940, PR"
"San Juan, PR","San Juan, PR","955, PR"
"San Juan, PR","Guaynabo, PR","968, PR"
"San Juan, PR","San Juan, PR","975, PR"
"San Juan, PR","Carolina, PR","979, PR"
"San Juan, PR","Carolina, PR","981, PR"
"San Juan, PR","Carolina, PR","982, PR"
"San Lorenzo, PR","San Lorenzo, PR","754, PR"
"San Sebastian, PR","San Sebastian, PR","685, PR"
"Santa Isabel, PR","Santa Isabel, PR","757, PR"
"Toa Alta, PR","Toa Alta, PR","953, PR"
"Toa Alta, PR","Toa Alta, PR","954, PR"
"Toa Baja, PR","Toa Baja, PR","949, PR"
"Toa Baja, PR","Toa Baja, PR","950, PR"
"Toa Baja, PR","Toa Baja, PR","951, PR"
"Toa Baja, PR","Sabana Seca, PR","952, PR"
"Trujillo Alto, PR","Trujillo Alto, PR","976, PR"
"Trujillo Alto, PR","Trujillo Alto, PR","977, PR"
"Trujillo Alto, PR","St Just, PR","978, PR"
"Utuado, PR","Angeles, PR","611, PR"
"Utuado, PR","Utuado, PR","641, PR"
"Vega Alta, PR","Vega Alta, PR","692, PR"
"Vega Baja, PR","Vega Baja, PR","693, PR"
"Vega Baja, PR","Vega Baja, PR","694, PR"
"Vieques, PR","Vieques, PR","765, PR"
"Villalba, PR","Villalba, PR","766, PR"
"Yabucoa, PR","Yabucoa, PR","767, PR"
"Yauco, PR","Yauco, PR","698, PR"
